"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"3441" "COG1743" "Adenine-specific DNA methylase, contains a Zn-ribbon domain" "L" "Replication, recombination and repair"
"3442" "COG3710" "DNA-binding winged helix-turn-helix (wHTH) domain (CadC1)" "K" "Transcription"
"3443" "COG3965" "Predicted Co/Zn/Cd cation transporter, cation efflux family" "P" "Inorganic ion transport and metabolism"
"3444" "COG1801" "Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)" "R" "General function prediction only"
"3445" "COG3215" "Type IV pilus assembly protein PilZ (PilZ)" "N" "Cell motility"
"3446" "COG3963" "Phosphatidylethanolamine N-methyltransferase" "I" "Lipid transport and metabolism"
"3447" "COG4185" "Predicted ABC-type ATPase or kinase" "R" "General function prediction only"
"3448" "COG4115" "Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family (PDB:2A6Q)" "V" "Defense mechanisms"
"3449" "COG4633" "Plastocyanin domain containing protein (PDB:2MRY)" "R" "General function prediction only"
"3450" "COG5659" "SRSO17 transposase (Srso17)" "X" "Mobilome: prophages, transposons"
"3451" "COG3809" "Predicted nucleic acid-binding protein, contains Zn-finger domain (PUBMED:22120742)" "R" "General function prediction only"
"3452" "COG1401" "5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)" "V" "Defense mechanisms"
"3453" "COG3813" "Uncharacterized conserved protein, DUF1272 domain" "S" "Function unknown"
"3454" "COG1543" "Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains (PDB:1UFA)" "G" "Carbohydrate transport and metabolism"
"3455" "COG3043" "Nitrate reductase cytochrome c-type subunit NapB (NapB) (PDB:1JNI)" "C" "Energy production and conversion"
"3456" "COG3681" "L-cysteine desulfidase YhaM (CdsB) (PUBMED:21169490)" "E" "Amino acid transport and metabolism"
"3457" "COG3694" "ABC-type uncharacterized transport system, permease component" "R" "General function prediction only"
"3458" "COG1708" "Predicted nucleotidyltransferase, MJ0604 family (MJ0604) (PDB:5YEP)" "R" "General function prediction only"
"3459" "COG4980" "Gas vesicle protein YhaH (GvpP)" "R" "General function prediction only"
"3460" "COG4628" "Uncharacterized conserved protein, DUF2132 family" "S" "Function unknown"
"3461" "COG3883" "Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO (CwlO1) (PDB:4CGK)" "S" "Function unknown"
"3462" "COG4264" "Siderophore synthetase component IucA/IucC/SbnC (IucA) (PDB:2W02) (PUBMED:19775248)" "P" "Inorganic ion transport and metabolism"
"3463" "COG3486" "Lysine/ornithine N-monooxygenase (IucD) (PDB:3S5W)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3464" "COG3720" "Putative heme degradation protein (HemS) (PDB:1U9T)" "P" "Inorganic ion transport and metabolism"
"3465" "COG0710" "3-dehydroquinate dehydratase (AroD) (PDB:1GQN)" "E" "Amino acid transport and metabolism"
"3466" "COG3143" "Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P (CheZ) (PDB:1KMI)" "N" "Cell motility"
"3467" "COG1795" "Formaldehyde-activating enzyme (5,6,7,8-tetrahydromethanopterin hydrolyase) (Fae) (PDB:1Y5Y) (PUBMED:16237021)" "C" "Energy production and conversion"
"3468" "COG3135" "Predicted benzoate:H+ symporter BenE (BenE)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3469" "COG3595" "Uncharacterized conserved protein YvlB, contains  DUF4097 and DUF4098 domains (YvlB)" "S" "Function unknown"
"3470" "COG4856" "Cyclic di-AMP synthase regulator CdaR, YbbR domain (YbbR) (PDB:2KQ1) (PUBMED:26527648)" "T" "Signal transduction mechanisms"
"3471" "COG4200" "Predicted lantabiotic-exporting membrane pepmease, EfiE/EfiG/ABC2 family (EfiE)" "V" "Defense mechanisms"
"3472" "COG3133" "Outer membrane lipoprotein SlyB (SlyB)" "M" "Cell wall/membrane/envelope biogenesis"
"3473" "COG4938" "Predicted ATPase" "R" "General function prediction only"
"3474" "COG2943" "Membrane glycosyltransferase (MdoH)" "M" "Cell wall/membrane/envelope biogenesis"
"3475" "COG3777" "Hydroxyacyl-ACP dehydratase HTD2, hotdog domain (HTD2) (PUBMED:10781606)" "I" "Lipid transport and metabolism"
"3476" "COG2994" "ACP:hemolysin acyltransferase (hemolysin-activating protein) (HlyC) (PUBMED:23319881)" "O" "Posttranslational modification, protein turnover, chaperones"
"3477" "COG4941" "Predicted RNA polymerase sigma factor, contains C-terminal TPR domain" "K" "Transcription"
"3478" "COG4916" "Uncharacterized conserved protein" "S" "Function unknown"
"3479" "COG5564" "Predicted TIM-barrel enzyme (PDB:2P10)" "S" "Function unknown"
"3480" "COG1779" "C4-type Zn-finger protein (Zpr1) (PDB:2QKD)" "R" "General function prediction only"
"3481" "COG1518" "CRISPR-Cas system-associated integrase Cas1 (Cas1) (PDB:2YZS)" "V" "Defense mechanisms"
"3482" "COG5317" "Uncharacterized conserved protein, DUF1465 domain (PDB:3CTW)" "S" "Function unknown"
"3483" "COG3393" "Predicted acetyltransferase, GNAT family" "R" "General function prediction only"
"3484" "COG4710" "Predicted DNA-binding protein with an HTH domain" "R" "General function prediction only"
"3485" "COG1015" "Phosphopentomutase (DeoB) (PDB:3UN2)" "G" "Carbohydrate transport and metabolism"
"3486" "COG4672" "Phage tail protein (gp18)" "X" "Mobilome: prophages, transposons"
"3487" "COG4496" "Predicted DNA-binding transcriptional regulator YerC, contains ArsR-like HTH domain (YerC) (PDB:3KOR)" "R" "General function prediction only"
"3488" "COG5631" "Predicted transcription regulator, contains HTH domain, MarR family" "K" "Transcription"
"3489" "COG3789" "Uncharacterized conserved protein YjfI, DUF2170 family (YjfI) (PUBMED:15972856)" "S" "Function unknown"
"3490" "COG2266" "GTP:adenosylcobinamide-phosphate guanylyltransferase (PDB:2MZB) (PUBMED:16895922)" "H" "Coenzyme transport and metabolism"
"3491" "COG1371" "Archease, activates RNA ligation by RtcB (tRNA splicing) (ARCH) (PDB:1J5U) (PUBMED:24435797)" "J" "Translation, ribosomal structure and biogenesis"
"3492" "COG4559" "ABC-type hemin transport system, ATPase component (PDB:4G1U)" "P" "Inorganic ion transport and metabolism"
"3493" "COG4912" "3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7)" "L" "Replication, recombination and repair"
"3494" "COG3662" "Uncharacterized conserved protein, DUF2236 family" "S" "Function unknown"
"3495" "COG5504" "Predicted Zn-dependent protease YjaZ, DUF2268 family (YjaZ)" "R" "General function prediction only"
"3496" "COG3160" "Regulator of sigma D (Rsd) (PDB:2P7V)" "K" "Transcription"
"3497" "COG4706" "Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain" "I" "Lipid transport and metabolism"
"3498" "COG3272" "Uncharacterized conserved protein YbgA, DUF1722 family (YbgA)" "S" "Function unknown"
"3499" "COG0827" "Adenine-specific DNA N6-methylase (YtxK) (PDB:2F8L)" "L" "Replication, recombination and repair"
"3500" "COG0401" "Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family (YqaE) (PUBMED:32307863)" "C" "Energy production and conversion"
"3501" "COG4128" "Zona occludens toxin, predicted ATPase (Zot)" "R" "General function prediction only"
"3502" "COG5510" "Predicted small secreted protein" "S" "Function unknown"
"3503" "COG4213" "ABC-type xylose transport system, periplasmic component (XylF) (PDB:4YWH)" "G" "Carbohydrate transport and metabolism"
"3504" "COG3086" "RseC, positive regulator of sigma E activity (RseC)" "T" "Signal transduction mechanisms"
"3505" "COG4564" "Signal transduction histidine kinase (PDB:2QHK)" "T" "Signal transduction mechanisms"
"3506" "COG5453" "Uncharacterized conserved protein" "S" "Function unknown"
"3507" "COG3125" "Heme/copper-type cytochrome/quinol oxidase, subunit 4 (CyoD)" "C" "Energy production and conversion"
"3508" "COG3188" "Outer membrane usher protein FimD/PapC (FimD) (PDB:2KT6)" "N" "Cell motility"
"3509" "COG4963" "Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain (CpaE) (PDB:4LDA)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3510" "COG3920" "Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)" "T" "Signal transduction mechanisms"
"3511" "COG5756" "FoF1-type ATP synthase subunit Atp1, cyanobacterial family (Atp1)" "C" "Energy production and conversion"
"3512" "COG4548" "Nitric oxide reductase activation protein (NorD)" "P" "Inorganic ion transport and metabolism"
"3513" "COG3224" "Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme" "R" "General function prediction only"
"3514" "COG3930" "Uncharacterized conserved protein, DUF1704 domain" "S" "Function unknown"
"3515" "COG4766" "Ethanolamine utilization protein EutQ, cupin superfamily (function unknown) (EutQ) (PDB:2PYT)" "E" "Amino acid transport and metabolism"
"3516" "COG1213" "Choline kinase (PDB:4MND)" "I" "Lipid transport and metabolism"
"3517" "COG5463" "Uncharacterized conserved protein YgiB, UPF0441/DUF1190 family, involved in bioifilm formation (YgiB)" "S" "Function unknown"
"3518" "COG3766" "Uncharacterized membrane protein YjfL, UPF0719 family (YjfL)" "S" "Function unknown"
"3519" "COG3758" "Various environmental stresses-induced protein Ves (function unknown) (Ves) (PDB:1YLL) (PUBMED:14499931)" "S" "Function unknown"
"3520" "COG4291" "Uncharacterized membrane protein (PUBMED:30962626)" "S" "Function unknown"
"3521" "COG2229" "Signal recognition particle receptor subunit beta, a GTPase (Srp102) (PDB:1NRJ)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3522" "COG5711" "Photosystem I reaction center subunit XII, PsaM (PsaM) (PDB:4KT0) (PUBMED:11418848)" "C" "Energy production and conversion"
"3523" "COG2260" "rRNA maturation protein Nop10, contains Zn-ribbon domain (Nop10) (PDB:1Y2Y)" "J" "Translation, ribosomal structure and biogenesis"
"3524" "COG2929" "Uncharacterized conserved protein, DUF497 family (PDB:3U97)" "S" "Function unknown"
"3525" "COG3642" "tRNA A-37 threonylcarbamoyl transferase component Bud32 (Bud32) (PDB:2VWB)" "J" "Translation, ribosomal structure and biogenesis"
"3526" "COG2184" "Fido, protein-threonine AMPylation domain (FIDO) (PDB:2F6S) (PUBMED:19503829)" "T" "Signal transduction mechanisms"
"3527" "COG2456" "Uncharacterized conserved protein, DUF2304 domain" "S" "Function unknown"
"3528" "COG3969" "Predicted phosphoadenosine phosphosulfate sulfurtransferase, contains C-terminal DUF3440 domain (YbdN)" "R" "General function prediction only"
"3529" "COG3878" "Uncharacterized conserved protein YwqG, DUF1963 family (YwqG) (PDB:1PV5)" "S" "Function unknown"
"3530" "COG3575" "Uncharacterized conserved protein (PDB:2LA3)" "S" "Function unknown"
"3531" "COG3065" "Starvation-inducible outer membrane lipoprotein Slp (Slp)" "M" "Cell wall/membrane/envelope biogenesis"
"3532" "COG3274" "Surface polysaccharide O-acyltransferase WecH (WecH) (PUBMED:16936038)" "M" "Cell wall/membrane/envelope biogenesis"
"3533" "COG4650" "Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain (RtcR)" "K" "Transcription"
"3534" "COG3385" "IS4 transposase InsG (InsG)" "X" "Mobilome: prophages, transposons"
"3535" "COG1497" "Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain (MJ0558)" "K" "Transcription"
"3536" "COG2359" "Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily (SpoVS) (PDB:2EH1) (PUBMED:7559352;18562273)" "S" "Function unknown"
"3537" "COG2125" "Ribosomal protein S6E (S10) (RPS6A) (PDB:4UER)" "J" "Translation, ribosomal structure and biogenesis"
"3538" "COG1358" "Ribosomal protein L7Ae or related RNA K-turn-binding protein (Rpl7Ae) (PDB:4LCK)" "J" "Translation, ribosomal structure and biogenesis"
"3539" "COG3672" "Predicted transglutaminase-like protein (PDB:4FGO)" "O" "Posttranslational modification, protein turnover, chaperones"
"3540" "COG3935" "DNA replication protein DnaD (DnaD) (PDB:2I5U)" "L" "Replication, recombination and repair"
"3541" "COG5026" "Hexokinase (PDB:1BDG)" "G" "Carbohydrate transport and metabolism"
"3542" "COG3382" "B3/B4 domain (DNA/RNA-binding domain of Phe-tRNA-synthetase) (B3/B4)" "R" "General function prediction only"
"3543" "COG3757" "Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family (Acm) (PDB:1H09)" "M" "Cell wall/membrane/envelope biogenesis"
"3544" "COG3184" "Uncharacterized conserved protein, contains DUF2059 domain (PDB:2X3O) (PUBMED:15741337)" "S" "Function unknown"
"3545" "COG4453" "Uncharacterized conserved protein, DUF1778 family (PDB:1Y9B)" "S" "Function unknown"
"3546" "COG4457" "Virulence factor SrfB-related protein (SrfB) (PUBMED:10844662;31766712)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3547" "COG4680" "mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module (HigB) (PDB:5IFG)" "J" "Translation, ribosomal structure and biogenesis"
"3548" "COG5672" "NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit M (NdhM) (PDB:6HUM) (PUBMED:15910282)" "C" "Energy production and conversion"
"3549" "COG3273" "Uncharacterized protein, contains PhoU and TrkA_C domains (PDB:1VCT)" "R" "General function prediction only"
"3550" "COG2106" "Predicted RNA methylase MTH1, SPOUT superfamily (MTH1) (PDB:1K3R)" "R" "General function prediction only"
"3551" "COG5934" "CRISPR-Cas system endoribonuclease Cas6e, RAMP superfamily (Cas6e)" "V" "Defense mechanisms"
"3552" "COG1688" "CRISPR/Cas system-associated protein Cas5, RAMP superfamily (Cas5)" "V" "Defense mechanisms"
"3553" "COG3470" "Uncharacterized conserved protein probably involved in high-affinity Fe2+ transport (Tpd) (PDB:2O6C) (PUBMED:18456808)" "M" "Cell wall/membrane/envelope biogenesis"
"3554" "COG3535" "Uncharacterized conserved protein, DUF917 family (PDB:2O3I)" "S" "Function unknown"
"3555" "COG4326" "Stage 0 sporulation-control protein Spo0M (Spo0M) (PDB:5CL2)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3556" "COG5605" "Cytochrome c oxidase subunit IV (COX4)" "C" "Energy production and conversion"
"3557" "COG5606" "Predicted DNA-binding protein, XRE-type HTH domain" "R" "General function prediction only"
"3558" "COG1756" "rRNA pseudouridine-1189 N-methylase Emg1, Nep1/Mra1 family (Emg1) (PDB:2V3J)" "J" "Translation, ribosomal structure and biogenesis"
"3559" "COG4405" "Predicted RNA-binding protein YhfF, contains PUA-like ASCH domain (YhfF)" "R" "General function prediction only"
"3560" "COG3635" "2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archeal type (ApgM) (PDB:2ZKT)" "G" "Carbohydrate transport and metabolism"
"3561" "COG4315" "Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown)" "S" "Function unknown"
"3562" "COG5464" "Recombination-promoting DNA endonuclease RpnC/YadD (RpnC) (PUBMED:28096446)" "L" "Replication, recombination and repair"
"3563" "COG1302" "Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family (YloU)" "S" "Function unknown"
"3564" "COG4245" "Uncharacterized conserved protein YegL, contains vWA domain of TerY type (TerY)" "S" "Function unknown"
"3565" "COG4248" "Uncharacterized conserved protein YegI with protein kinase and helix-hairpin-helix DNA-binding domains (YegI)" "R" "General function prediction only"
"3566" "COG3623" "L-ribulose-5-phosphate 3-epimerase UlaE (SgaU) (PDB:3CQH)" "G" "Carbohydrate transport and metabolism"
"3567" "COG1099" "Predicted metal-dependent hydrolase, TIM-barrel fold (PDB:3GUW)" "R" "General function prediction only"
"3568" "COG5787" "Uncharacterized cyanobacterial/plant protein Alr2454, DUF3067 (PF11267) family (Alr2454)" "C" "Energy production and conversion"
"3569" "COG3904" "Predicted periplasmic protein" "S" "Function unknown"
"3570" "COG4093" "Uncharacterized conserved protein, DUF2125 domain" "S" "Function unknown"
"3571" "COG3843" "Type IV secretory pathway, VirD2 component (relaxase) (VirD2)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3572" "COG2516" "Biotin synthase-related protein, radical SAM superfamily" "R" "General function prediction only"
"3573" "COG3006" "Chromosome condensin MukBEF, kleisin-like MukF subunit (MukF) (PDB:1T98)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3574" "COG4302" "Ethanolamine ammonia-lyase, small subunit (EutC) (PDB:5YSN)" "E" "Amino acid transport and metabolism"
"3575" "COG3943" "Uncharacterized protein RhuM, Salmonella virulence factor (RhuM)" "S" "Function unknown"
"3576" "COG4540" "Phage P2 baseplate assembly protein gpV (gpV) (PDB:3AQJ)" "X" "Mobilome: prophages, transposons"
"3577" "COG4385" "Bacteriophage P2-related tail formation protein (gpI)" "X" "Mobilome: prophages, transposons"
"3578" "COG4648" "Uncharacterized membrane protein" "S" "Function unknown"
"3579" "COG3947" "Two-component response regulator, SAPR family, consists of REC, wHTH and BTAD domains (SAPR)" "T" "Signal transduction mechanisms"
"3580" "COG1915" "Uncharacterized conserved protein AF1278, contains saccharopine dehydrogenase N-terminal (SDHN) domain (PDB:3C2Q)" "S" "Function unknown"
"3581" "COG2375" "NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)" "P" "Inorganic ion transport and metabolism"
"3582" "COG3586" "Uncharacterized protein domain, C-terminal to COG1479 DNAse/DNA nickase (PUBMED:17188297;32251370)" "R" "General function prediction only"
"3583" "COG5441" "ATP-binding helicase-inhibiting domain, Tm-1/UPF0261 family (Tm-1N) (PDB:3WRV) (PUBMED:25092327)" "V" "Defense mechanisms"
"3584" "COG1455" "Phosphotransferase system cellobiose-specific component IIC (CelB) (PDB:3QNQ)" "G" "Carbohydrate transport and metabolism"
"3585" "COG4714" "Uncharacterized membrane-anchored protein" "S" "Function unknown"
"3586" "COG5649" "Uncharacterized conserved protein, DUF1801 domain" "S" "Function unknown"
"3587" "COG3530" "Uncharacterized conserved protein, DUF3820 family" "S" "Function unknown"
"3588" "COG1887" "CDP-glycerol glycerophosphotransferase, TagB/SpsB family (TagB)" "M" "Cell wall/membrane/envelope biogenesis"
"3589" "COG1093" "Translation initiation factor 2, alpha subunit (eIF-2alpha) (SUI2) (PDB:1KL9)" "J" "Translation, ribosomal structure and biogenesis"
"3590" "COG3650" "Uncharacterized membrane protein" "S" "Function unknown"
"3591" "COG4220" "Phage DNA packaging protein, Nu1 subunit of terminase (Nu1) (PDB:1J9I)" "X" "Mobilome: prophages, transposons"
"3592" "COG5751" "Photosynthetic regulator, contains GUN4/Ycf53 domain and N-terminal all-alpha domain (A-ycf53) (PDB:1Z3X) (PUBMED:15909975)" "T" "Signal transduction mechanisms"
"3593" "COG3640" "CO dehydrogenase nickel-insertion accessory protein CooC1 (CooC) (PUBMED:15466042)" "O" "Posttranslational modification, protein turnover, chaperones"
"3594" "COG3771" "Lipopolysaccharide assembly protein YciS/LapA, DUF1049 family (YciS) (PUBMED:24722986)" "S" "Function unknown"
"3595" "COG5385" "Histidine phosphotransfer protein ChpT, HPt domain (HPt) (PDB:4FMT) (PUBMED:23932593)" "T" "Signal transduction mechanisms"
"3596" "COG3526" "Predicted selenoprotein, Rdx family (PDB:2FA8)" "R" "General function prediction only"
"3597" "COG5448" "Uncharacterized conserved protein, DUF2460 domain" "S" "Function unknown"
"3598" "COG2362" "D-aminopeptidase (DppA) (PDB:1HI9)" "E" "Amino acid transport and metabolism"
"3599" "COG1394" "Archaeal/vacuolar-type H+-ATPase subunit D/Vma8 (NtpD) (PDB:3AON)" "C" "Energy production and conversion"
"3600" "COG4872" "Uncharacterized membrane protein" "S" "Function unknown"
"3601" "COG5671" "NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit L (NdhL) (PDB:6HUM) (PUBMED:15910282)" "C" "Energy production and conversion"
"3602" "COG4261" "Predicted acyltransferase, LPLAT superfamily" "R" "General function prediction only"
"3603" "COG2344" "NADH/NAD ratio-sensing transcriptional regulator Rex (Rex) (PDB:3KEO) (PUBMED:23490197)" "K" "Transcription"
"3604" "COG5529" "Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains (ECs1768)" "X" "Mobilome: prophages, transposons"
"3605" "COG4818" "Uncharacterized membrane protein MJ1443, UPF0132 family" "S" "Function unknown"
"3606" "COG1437" "Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function) (CyaB) (PDB:1YEM)" "T" "Signal transduction mechanisms"
"3607" "COG5493" "Uncharacterized protein, contains PD-(D/E)XK nuclease domain" "R" "General function prediction only"
"3608" "COG5637" "Uncharacterized protein, contains SRPBCC domain (PDB:3GGN)" "S" "Function unknown"
"3609" "COG1661" "Predicted DNA-binding protein with PD1-like DNA-binding motif, PPC/DUF296 domain (AF0104) (PDB:2DT4)" "R" "General function prediction only"
"3610" "COG1114" "Branched-chain amino acid permease (BrnQ)" "E" "Amino acid transport and metabolism"
"3611" "COG3921" "Uncharacterized conserved protein, contains Extensin-like_C domain" "S" "Function unknown"
"3612" "COG4744" "Uncharacterized conserved protein, DUF2149 domain" "S" "Function unknown"
"3613" "COG4167" "ABC-type antimicrobial peptide export system, ATPase component SapF (SapF)" "V" "Defense mechanisms"
"3614" "COG4112" "Predicted phosphoesterase YmaB, NUDIX family (YmaB) (PDB:3E57)" "R" "General function prediction only"
"3615" "COG1378" "Sugar-specific transcriptional regulator TrmB (YrhO) (PDB:5BPD)" "K" "Transcription"
"3616" "COG5036" "SPX domain-containing protein involved in vacuolar polyphosphate accumulation (PDB:3G3O)" "P" "Inorganic ion transport and metabolism"
"3617" "COG1598" "Antitoxin component HicB of the HicAB toxin-antitoxin system (HicB) (PDB:4P78) (PUBMED:19060138)" "V" "Defense mechanisms"
"3618" "COG4907" "Uncharacterized membrane protein" "S" "Function unknown"
"3619" "COG4324" "Predicted aminopeptidase" "R" "General function prediction only"
"3620" "COG3256" "Nitric oxide reductase large subunit (NorB) (PDB:3WFC)" "P" "Inorganic ion transport and metabolism"
"3621" "COG2815" "PASTA domain, binds beta-lactams (PASTA)" "M" "Cell wall/membrane/envelope biogenesis"
"3622" "COG1699" "Flagellar assembly factor FliW (FliW) (PDB:2AJ7)" "N" "Cell motility"
"3623" "COG5451" "Predicted secreted protein" "S" "Function unknown"
"3624" "COG5599" "Protein tyrosine phosphatase (PDB:6KIP)" "T" "Signal transduction mechanisms"
"3625" "COG3567" "Uncharacterized conserved protein, DUF1073 domain" "S" "Function unknown"
"3626" "COG5777" "Uncharacterized cyanobacterial/plant membrane protein Pro0498, contains N-terminal TPR repeats (Pro0498)" "C" "Energy production and conversion"
"3627" "COG1289" "Uncharacterized membrane protein YccC (YccC)" "S" "Function unknown"
"3628" "COG4422" "Bacteriophage protein gp37" "X" "Mobilome: prophages, transposons"
"3629" "COG3573" "Predicted oxidoreductase" "R" "General function prediction only"
"3630" "COG1221" "Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain (PspF)" "K" "Transcription"
"3631" "COG3826" "Uncharacterized conserved protein" "S" "Function unknown"
"3632" "COG4314" "Nitrous oxide reductase accessory protein NosL (NosL) (PDB:2HPU)" "P" "Inorganic ion transport and metabolism"
"3633" "COG4693" "Oxidoreductase (NAD-binding), involved in siderophore biosynthesis (PchG) (PDB:4GMG)" "P" "Inorganic ion transport and metabolism"
"3634" "COG2454" "Predicted nuclease, contains PIN domain" "R" "General function prediction only"
"3635" "COG5527" "Protein involved in initiation of plasmid replication (PDB:2Z9O)" "X" "Mobilome: prophages, transposons"
"3636" "COG3955" "Uncharacterized conserved protein, DUF1919 family (PDB:2G6T)" "M" "Cell wall/membrane/envelope biogenesis"
"3637" "COG3097" "Uncharacterized conserved protein YqfB, UPF0267 family (YqfB) (PDB:1TE7)" "S" "Function unknown"
"3638" "COG4555" "ABC-type Na+ transport system, ATPase component NatA (NatA)" "C" "Energy production and conversion"
"3639" "COG3880" "Protein-arginine kinase activator protein McsA (McsA)" "O" "Posttranslational modification, protein turnover, chaperones"
"3640" "COG5733" "Photosystem II reaction center protein X, PsbX (PsbX) (PDB:1S5L) (PUBMED:11230572;17935689;17967798;20558739;25043005)" "C" "Energy production and conversion"
"3641" "COG4330" "Uncharacterized membrane protein, DUF1361 domain" "S" "Function unknown"
"3642" "COG4861" "Uncharacterized conserved protein" "S" "Function unknown"
"3643" "COG3815" "Uncharacterized membrane protein" "S" "Function unknown"
"3644" "COG5532" "Uncharacterized conserved protein YfdQ, DUF2303 family (yfdQ)" "S" "Function unknown"
"3645" "COG4519" "Uncharacterized conserved protein (PDB:3KE2)" "S" "Function unknown"
"3646" "COG4258" "Predicted exporter" "R" "General function prediction only"
"3647" "COG5776" "Bacterial PH (pleckstrin homology) domain (PH) (PDB:3DCX) (PUBMED:19913036)" "C" "Energy production and conversion"
"3648" "COG3855" "Fructose-1,6-bisphosphatase (Fbp2)" "G" "Carbohydrate transport and metabolism"
"3649" "COG2966" "Uncharacterized membrane protein YjjP, DUF1212 family (YjjP)" "S" "Function unknown"
"3650" "COG2357" "ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase) (YjbM) (PDB:5F2V)" "F" "Nucleotide transport and metabolism"
"3651" "COG1910" "Periplasmic molybdate-binding protein/domain (YvgK)" "P" "Inorganic ion transport and metabolism"
"3652" "COG2056" "Predicted histidine transporter YuiF, NhaC family (YuiF) (PUBMED:15135544)" "E" "Amino acid transport and metabolism"
"3653" "COG5790" "NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific subunit S (CRR31) (NdhS) (PDB:6A7K) (PUBMED:30742075;30573545)" "C" "Energy production and conversion"
"3654" "COG3259" "Coenzyme F420-reducing hydrogenase, alpha subunit (FrhA) (PDB:3ZFS)" "C" "Energy production and conversion"
"3655" "COG3418" "Flagellar biosynthesis/type III secretory pathway chaperone FlgN (FlgN) (PDB:2FUP)" "N" "Cell motility"
"3656" "COG5401" "Spore germination protein GerM (GerM) (PDB:6GZB)" "D" "Cell cycle control, cell division, chromosome partitioning"
"3657" "COG1821" "Tyramine-glutamate ligase MfnD (methanofuran biosynthesis), ATP-grasp superfamily (MfnD) (PDB:3DF7) (PUBMED:25211225)" "H" "Coenzyme transport and metabolism"
"3658" "COG1787" "Endonuclease, HJR/Mrr/RecB family" "V" "Defense mechanisms"
"3659" "COG3300" "MHYT domain, NO-binding membrane sensor (MHYT)" "T" "Signal transduction mechanisms"
"3660" "COG5449" "Uncharacterized conserved protein, DUF2163 domain" "S" "Function unknown"
"3661" "COG3478" "Predicted nucleic-acid-binding protein, contains Zn-ribbon domain (YpzJ)" "R" "General function prediction only"
"3662" "COG4288" "Uncharacterized conserved protein (PDB:1NC7)" "S" "Function unknown"
"3663" "COG1098" "Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain (YabR) (PDB:2K4K)" "R" "General function prediction only"
"3664" "COG5568" "Uncharacterized conserved protein, DUF1150 family" "S" "Function unknown"
"3665" "COG1727" "Ribosomal protein L18E (RPL18A)" "J" "Translation, ribosomal structure and biogenesis"
"3666" "COG3885" "Aromatic ring-opening dioxygenase, LigB subunit" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"3667" "COG1901" "tRNA pseudouridine-54 N-methylase (TrmY) (PDB:2QMM)" "J" "Translation, ribosomal structure and biogenesis"
"3668" "COG2180" "Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor (NarJ)" "C" "Energy production and conversion"
"3669" "COG3736" "Type IV secretory pathway, component VirB8 (VirB8) (PDB:2BHM)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"3670" "COG2958" "Uncharacterized conserved protein (PUBMED:24710389)" "S" "Function unknown"
"3671" "COG5011" "Uncharacterized conserved protein, DUF2344 family" "S" "Function unknown"
